,Server Name,Downtime (Minutes),Date,Failure Description
0,ServerSVE,201,2024-02-25,High CPU usage
1,ServerWEC,185,2024-03-14,High CPU usage
2,ServerDJU,21,2023-07-30,Disk failure
3,ServerKJE,10,2023-09-05,Unplanned maintenance
4,ServerHFJ,265,2023-08-02,Network hardware malfunction
5,ServerNIP,134,2024-05-04,Disk failure
6,ServerMMW,11,2023-10-12,Power outage
7,ServerVPU,123,2023-07-03,Hardware failure
8,ServerPEZ,95,2023-08-29,Disk failure
9,ServerCXA,87,2023-10-16,Network hardware malfunction
10,ServerYEK,176,2024-01-30,Power outage
11,ServerLAK,45,2023-08-24,Application failure
12,ServerWEZ,229,2024-02-26,Major security breach
13,ServerRUR,209,2023-10-26,Complete system crash
14,ServerVMZ,173,2023-10-18,Network hardware malfunction
15,ServerPVS,5,2024-02-23,Network connectivity issues
16,ServerQHL,185,2024-01-13,Power outage
17,ServerRMP,65,2024-03-11,Complete system crash
18,ServerPGV,290,2024-06-22,Power outage
19,ServerKTU,216,2023-12-20,Hardware failure
20,ServerKBT,130,2024-02-23,Network connectivity issues
21,ServerQVI,138,2023-10-13,Application failure
22,ServerSOA,195,2023-09-08,Database corruption
23,ServerHTW,80,2023-12-26,Minor configuration error
24,ServerXBQ,247,2023-10-03,Memory leak
25,ServerBHX,137,2023-10-31,Network hardware malfunction
26,ServerDXX,46,2023-09-17,Database corruption
27,ServerBTU,208,2023-09-17,High CPU usage
28,ServerNDS,251,2024-05-30,Software update error
29,ServerNQU,147,2024-05-24,Minor configuration error
30,ServerTEQ,240,2023-11-09,High CPU usage
31,ServerOIA,97,2023-11-29,Network hardware malfunction
32,ServerWLZ,31,2024-05-22,Hardware failure
33,ServerOOP,110,2023-07-17,High CPU usage
34,ServerONR,101,2024-01-17,Software update error
35,ServerKZW,112,2024-04-30,Memory leak
36,ServerYUS,165,2023-08-26,Unplanned maintenance
37,ServerKEM,239,2023-10-17,Complete system crash
38,ServerDVS,39,2024-06-28,Network hardware malfunction
39,ServerBDI,96,2023-10-08,Database corruption
40,ServerSQR,54,2024-05-17,Application failure
41,ServerHDG,9,2024-02-23,Application failure
42,ServerHZB,188,2024-04-11,Software update error
43,ServerLIM,85,2023-10-29,Software update error
44,ServerIQR,17,2024-03-29,Major security breach
45,ServerUXD,116,2023-07-14,Disk failure
46,ServerZIZ,14,2024-01-30,Major security breach
47,ServerUOF,77,2023-12-22,Power outage
48,ServerCKW,56,2024-06-26,Power outage
49,ServerUPQ,88,2023-11-09,Hardware failure
50,ServerSQB,49,2023-09-03,Network hardware malfunction
51,ServerPXH,149,2023-09-02,Network connectivity issues
52,ServerMNG,129,2023-10-09,Unplanned maintenance
53,ServerXDP,86,2023-12-25,High CPU usage
54,ServerFSL,103,2023-10-18,Hardware failure
55,ServerCKP,162,2023-07-18,Disk failure
56,ServerLUP,161,2023-10-19,Application failure
57,ServerSRI,280,2023-10-29,Database corruption
58,ServerATQ,259,2024-01-08,Unplanned maintenance
59,ServerWRL,37,2023-08-29,Database corruption
60,ServerQNC,245,2023-12-04,Disk failure
61,ServerACE,31,2024-06-05,High CPU usage
62,ServerEFV,6,2023-08-10,Database corruption
63,ServerGII,259,2024-04-20,Network connectivity issues
64,ServerENA,157,2023-12-02,Disk failure
65,ServerMBP,299,2023-08-12,Power outage
66,ServerTXJ,83,2023-07-31,Minor configuration error
67,ServerXIT,168,2024-04-28,Hardware failure
68,ServerGCJ,57,2023-08-15,Hardware failure
69,ServerREE,85,2023-08-10,Power outage
70,ServerWES,187,2023-12-21,Disk failure
71,ServerDOJ,269,2024-05-28,Network congestion
72,ServerLYL,241,2023-08-22,High CPU usage
73,ServerPUQ,157,2023-11-23,Application failure
74,ServerYYM,268,2024-04-21,Application failure
75,ServerFWP,55,2024-06-07,Complete system crash
76,ServerLMQ,232,2023-11-30,Power outage
77,ServerGPL,46,2024-03-31,Application failure
78,ServerYYC,139,2024-04-02,Network connectivity issues
79,ServerBGY,235,2024-02-04,Power outage
80,ServerNML,281,2023-11-12,Minor configuration error
81,ServerAAW,104,2024-03-31,Memory leak
82,ServerIPG,263,2023-12-31,Network connectivity issues
83,ServerAPL,86,2024-04-17,Complete system crash
84,ServerQLL,83,2024-07-01,Network connectivity issues
85,ServerKUM,186,2023-08-05,Network congestion
86,ServerQRU,227,2023-08-07,Minor configuration error
87,ServerNHU,109,2023-09-15,Power outage
88,ServerTAU,119,2023-07-10,High CPU usage
89,ServerJHU,10,2024-06-29,Complete system crash
90,ServerSIH,289,2024-04-08,Memory leak
91,ServerFIX,31,2024-04-18,Network congestion
92,ServerQKP,54,2024-04-12,Software update error
93,ServerSTA,126,2023-08-03,Disk failure
94,ServerMZB,14,2024-05-01,Application failure
95,ServerBZC,112,2023-11-02,High CPU usage
96,ServerHIL,238,2023-12-26,Database corruption
97,ServerOXI,42,2023-08-05,Database corruption
98,ServerVAE,50,2023-09-11,High CPU usage
99,ServerKJC,167,2023-10-03,Disk failure
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
0,ServerSVE,201,2024-02-25,High CPU usage
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
63,ServerGII,259,2024-04-20,Network connectivity issues
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
73,ServerPUQ,157,2023-11-23,Application failure
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
72,ServerLYL,241,2023-08-22,High CPU usage
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
71,ServerDOJ,269,2024-05-28,Network congestion
